Position,City,Population,Area,Density
500,Nipoã,5213,137.609,37.8826966259474
501,Canas,5138,53.261,96.4683351795873
502,Analândia,4995,325.953,15.3242952204766
503,Campos Novos Paulista,4965,484.199,10.2540484387617
504,Itapura,4906,301.653,16.2637202348394
505,Lagoinha,4896,255.472,19.1645268366005
506,Indiana,4885,129.367,37.7607890729475
507,Mirassolândia,4871,166.125,29.32129420617
508,Narandiba,4857,357.325,13.5926677394529
509,Espírito Santo do Turvo,4829,193.666,24.9346813586277
510,Boraceia,4823,122.11,39.4971746785685
511,Glicério,4815,272.8,17.650293255132
512,Gastão Vidigal,4808,180.569,26.6269403939768
513,Gavião Peixoto,4789,243.766,19.6458899108161
514,Ubirajara,4780,128.026,37.3361660912627
515,Santópolis do Aguapeí,4777,128.026,37.3127333510381
516,Júlio Mesquita,4776,128.183,37.2592309432608
517,Motuca,4758,228.7,20.8045474420638
518,Ribeirão Corrente,4718,148.332,31.8070274788987
519,Coronel Macedo,4681,303.83,15.4066418720995
520,Monteiro Lobato,4653,332.742,13.9838072741043
521,Pontalinda,4628,209.525,22.0880563178618
522,Lupércio,4584,155.171,29.541602490156
523,Ribeirão do Sul,4541,203.208,22.3465611590095
524,Tejupá,4532,296.189,15.3010408894321
525,João Ramalho,4523,415.452,10.886937600493
526,Santa Cruz da Conceição,4503,150.13,29.9940051954972
527,Murutinga do Sul,4486,250.873,17.8815576008578
528,Buritizal,4481,266.42,16.8193078597703
529,Onda Verde,4381,242.946,18.0328138763347
530,Sandovalina,4302,455.856,9.43719069179741
531,Ocauçu,4289,301.036,14.2474654194183
532,Cabrália Paulista,4264,239.974,17.7685915974231
533,Itapirapuã Paulista,4241,406.478,10.4335289978793
534,Iporanga,4218,1152.059,3.66127082033125
535,Aparecida d'Oeste,4196,179.004,23.440816964984
536,Caiabu,4191,253.352,16.5422021535255
537,Populina,4169,315.938,13.1956269901057
538,Alfredo Marcondes,4166,118.915,35.0334272379431
539,Monte Castelo,4166,233.547,17.8379512475005
540,Altair,4160,313.007,13.2904375940474
541,São José do Barreiro,4147,570.685,7.26670580092345
542,Anhumas,4115,320.84,12.8257075177659
543,Nova Luzitânia,4101,73.816,55.5570607998266
